id,base_id,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,base_sources,base_names,base_categories,base_confidence,base_websites,base_socials,base_emails,base_phones,base_brand,base_addresses,name_annotation_1,name_annotation_2,name_notes,phone_annotation_1,phone_annotation_2,phone_notes,website_annotation_1,website_annotation_2,website_notes,address_annotation_1,address_annotation_2,address_notes,category_annotation_1,category_annotation_2,category_notes
08f64a59990a63a0030784450be43ba4,4fe31684e4b02bc5526741ee,"[{""property"":"""",""dataset"":""meta"",""record_id"":""800712036614657"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.23154848046309695}]","{""primary"":""ร้านตัดผมพี่ริน ห้วยตะแคง""}","{""primary"":""beauty_salon"",""alternate"":[""barber"",""thai_restaurant""]}",0.23154848046309695,,"[""https://www.facebook.com/800712036614657""]",,,,"[{""country"":""TH""}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4fe31684e4b02bc5526741ee"",""update_time"":""2020-11-21T00:00:00.000"",""confidence"":1.0}]","{""primary"":""ร้านตัดผมพี่ริน ห้วยตะแคง"",""common"":{},""rules"":[]}","{""primary"":""Business and Professional Services > Health and Beauty Service > Hair Salon"",""alternate"":[]}",1.0,[null],"[null,null,null]",[null],[null],"{""wikidata"":"""",""names"":{""primary"":""ร้านตัดผมพี่ริน ห้วยตะแคง"",""common"":{},""rules"":[]}}","[{""country"":""TH""}]",,,,,,,,,,,,,,,
08f3da18ccad52ad03cc06b87820910f,1688849864728832,"[{""property"":"""",""dataset"":""msft"",""record_id"":""1970324841936378"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1688849864728832"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""davaindia GENERIC PHARMACY""}","{""primary"":""pharmacy"",""alternate"":[""retail""]}",0.77,"[""http://sector15rohini.davaindia.com/""]",,,"[""09818559767""]",,"[{""freeform"":""Shop No F21/66, Rohini, Sector 15"",""locality"":""New Delhi"",""postcode"":""110089"",""region"":""Delhi"",""country"":""IN""}]","[{""dataset"":""Microsoft"",""record_id"":""1688849864728832"",""update_time"":""2023-06-02T06:10:02.65"",""confidence"":0.77}]","{""primary"":""Davaindia Generic Pharmacy""}","{""primary"":""pharmacy"",""alternate"":[""retail""]}",0.77,"[""https://pharmacy-nearme.davaindia.com/davaindia-generic-pharmacy-pharmacy-rohini-sector-15-new-delhi-173545/Home?utm_source=locator&utm_medium=bing""]",,,"[""09818559767""]","{""names"":{}}","[{""freeform"":""Shop No F21/66, Rohini, Sector 15"",""locality"":""New Delhi"",""region"":""Delhi"",""country"":""IN"",""postcode"":""110089""}]",,,,,,,,,,,,,,,
08f4823ad167532903b45bc53a70221e,4c0d8f472466a593f4cf7721,"[{""property"":"""",""dataset"":""meta"",""record_id"":""1547483718896468"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.7927927927927928}]","{""primary"":""The Home Depot México""}","{""primary"":""home_and_garden"",""alternate"":[""hardware_store"",""building_supply_store""]}",0.7927927927927928,"[""http://www.homedepot.com.mx/""]","[""https://www.facebook.com/1547483718896468""]",,"[""+528000046633""]","{""names"":{""primary"":""The Home Depot""}}","[{""freeform"":""Calle Benito Juárez 75"",""locality"":""Cabo San Lucas"",""postcode"":""23470"",""region"":""BCS"",""country"":""MX""}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4c0d8f472466a593f4cf7721"",""update_time"":""2024-01-19T00:00:00.000"",""confidence"":1.0}]","{""primary"":""The Home Depot"",""common"":{},""rules"":[]}","{""primary"":""Retail > Hardware Store"",""alternate"":[""Retail > Furniture and Home Store""]}",1.0,"[""http://www.homedepot.com""]","[""https://www.twitter.com/homedepot"",""https://www.facebook.com/106485550030"",null]",[null],[null],"{""wikidata"":"""",""names"":{""primary"":""The Home Depot"",""common"":{},""rules"":[]}}","[{""freeform"":""Carretera Transpeninsular Benito Juarez Km. 6.5 Col"",""locality"":""Cabo San Lucas"",""region"":""Baja California South"",""country"":""MX"",""postcode"":""23455""}]",,,,,,,,,,,,,,,
08f28de8b291171e037d00b748edc418,1125899912911929,"[{""property"":"""",""dataset"":""meta"",""record_id"":""102133142967621"",""update_time"":""2025-01-06T00:00:00.000Z""},{""property"":""/properties/existence"",""dataset"":""msft"",""record_id"":""1125899912911929"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Sonei Jewellers""}","{""primary"":""jewelry_store""}",0.9877528662420382,"[""http://soneijewellers.ca/""]","[""https://www.facebook.com/102133142967621""]",,"[""+16045748049""]",,"[{""freeform"":""8430 128 St"",""locality"":""Surrey"",""postcode"":""V3W 4G3"",""region"":""BC"",""country"":""CA""}]","[{""dataset"":""Microsoft"",""record_id"":""1125899912911929"",""update_time"":""2024-12-19T08:08:28.2"",""confidence"":0.77}]","{""primary"":""Sonei Jewellers""}","{""primary"":""jewelry_store"",""alternate"":[""retail""]}",0.77,"[""https://soneijewellers.ca/""]",,,"[""6045748049""]","{""names"":{}}","[{""freeform"":""Unit - 23 8430 128 St"",""locality"":""Surrey"",""region"":""BC"",""country"":""CA"",""postcode"":""V3W 4G3""}]",,,,,,,,,,,,,,,
08fa90e8d6b065a303084f1af4a32095,6074510f34b6166478c228a1,"[{""property"":"""",""dataset"":""meta"",""record_id"":""1155217891169623"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.6214335421016005}]","{""primary"":""Imobiliária Alegro""}","{""primary"":""real_estate"",""alternate"":[""real_estate_agent"",""real_estate_service""]}",0.6214335421016005,"[""http://www.imobiliariaalegro.com.br/""]","[""https://www.facebook.com/1155217891169623""]",,"[""+555130673966""]",,"[{""freeform"":""Rua Sobradinho, 100"",""locality"":""Novo Hamburgo"",""postcode"":""93534-540"",""region"":""RS"",""country"":""BR""}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""6074510f34b6166478c228a1"",""update_time"":""2021-04-12T00:00:00.000"",""confidence"":1.0}]","{""primary"":""Imobiliaria Alegro"",""common"":{},""rules"":[]}","{""primary"":""Business and Professional Services > Real Estate Service > Real Estate Agency"",""alternate"":[]}",1.0,[null],"[null,null,null]",[null],[null],"{""wikidata"":"""",""names"":{""primary"":""Imobiliaria Alegro"",""common"":{},""rules"":[]}}","[{""freeform"":""100 Rua Sobradinho"",""locality"":""Novo Hamburgo"",""region"":""RS"",""country"":""BR"",""postcode"":""93534-540""}]",,,,,,,,,,,,,,,
08f618c49a7528c003ccdd6a1e4805b9,5fb696146628442f48777bc7,"[{""property"":"""",""dataset"":""Microsoft"",""record_id"":""1688849863162788"",""update_time"":""2023-06-12T16:58:27.017Z"",""confidence"":0.77}]","{""primary"":""HDFC Bank ATM""}","{""primary"":""bank_credit_union"",""alternate"":[""atms""]}",0.77,"[""https://near-me.hdfcbank.com/branch-atm-locator/hdfc-bank-atm-thiruvottriyur-atm-thiruvottriyur-tiruvallur-17474/Home?utm_source=locator&utm_medium=bing""]",,,"[""09426792001""]",,"[{""freeform"":""No 4, South Mada Street, Thiruvottriyur"",""locality"":""Tiruvallur"",""postcode"":""600019"",""region"":""Tamil Nadu"",""country"":""IN""}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""5fb696146628442f48777bc7"",""update_time"":""2021-01-18T00:00:00.000"",""confidence"":1.0}]","{""primary"":""HDFC Bank ATM"",""common"":{},""rules"":[]}","{""primary"":""Business and Professional Services > Financial Service > Banking and Finance > ATM"",""alternate"":[]}",1.0,"[""https://v1.hdfcbank.com/branch-atm-locator/hdfc-bank-atm-thiruvottriyur-atm-thiruvottriyur-tiruvallur-17474/Home""]","[null,null,null]",[null],"[""075739 19585""]","{""wikidata"":"""",""names"":{""primary"":""HDFC Bank ATM"",""common"":{},""rules"":[]}}","[{""freeform"":""No 4,South Mada Street"",""locality"":""Tiruvallur"",""region"":""Tamil Nadu"",""country"":""IN"",""postcode"":""600019""}]",,,,,,,,,,,,,,,
08f2aad39c474c9c03e6e7b74bca7273,08f2aad39c474da8039ec1a4645dc0eb,"[{""property"":"""",""dataset"":""meta"",""record_id"":""1691483661121966"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Five Pointe Barber Shop""}","{""primary"":""barber"",""alternate"":[""beauty_salon"",""beauty_and_spa""]}",0.9837452982267598,"[""http://5pointbarber.com""]","[""https://www.facebook.com/1691483661121966""]",,"[""+13026457779""]",,"[{""freeform"":""17601 Coastal Hwy"",""locality"":""Lewes"",""postcode"":""19958-6217"",""region"":""DE"",""country"":""US""}]","[{""property"":"""",""dataset"":""meta"",""record_id"":""102579202136726"",""update_time"":""2025-01-06T00:00:00.000Z""}]","{""primary"":""Five Points Plaza""}","{""primary"":""flowers_and_gifts_shop""}",0.9097222222222222,,"[""https://www.facebook.com/102579202136726""]",,,,"[{""freeform"":""17601 Coastal Hwy"",""postcode"":""19958"",""country"":""US""}]",,,,,,,,,,,,,,,
08fa810394ce9a0003eabeff0516b3b1,4bae285af964a5204d8b3be3,"[{""property"":"""",""dataset"":""meta"",""record_id"":""100430302778457"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.48103896103896104}]","{""primary"":""Esfiha Chic - Vila Arcádia""}","{""primary"":""fast_food_restaurant"",""alternate"":[""restaurant"",""pizza_restaurant""]}",0.48103896103896104,"[""https://edeliveryapp.com.br/esfihachic/""]","[""https://www.facebook.com/100430302778457""]",,"[""+551139756418""]",,"[{""freeform"":""Avenida General Edgard Facó, 2002"",""locality"":""São Paulo"",""postcode"":""02924-600"",""region"":""SP"",""country"":""BR""}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4bae285af964a5204d8b3be3"",""update_time"":""2021-08-12T00:00:00.000"",""confidence"":1.0}]","{""primary"":""Esfiha Chic"",""common"":{},""rules"":[]}","{""primary"":""Dining and Drinking > Restaurant > Mediterranean Restaurant"",""alternate"":[""Dining and Drinking > Restaurant > Fast Food Restaurant""]}",1.0,"[""http://esfihachicvergueiro.com.br""]","[null,null,null]",[null],"[""(11) 3998-9853""]","{""wikidata"":"""",""names"":{""primary"":""Esfiha Chic"",""common"":{},""rules"":[]}}","[{""freeform"":""Av. Gal. Edgard Faccó, 2002"",""locality"":""São Paulo"",""region"":""SP"",""country"":""BR""}]",,,,,,,,,,,,,,,
562949960007229,844424932283258,"[{""dataset"":""Microsoft"",""record_id"":""562949960007229"",""update_time"":""2024-10-08T08:22:12.437"",""confidence"":0.77}]","{""primary"":""The Bristol Hotel""}","{""primary"":""resort"",""alternate"":[""hotel""]}",0.77,"[""https://www.bristolhotelva.com/?utm_medium=organic&utm_source=yext&utm_campaign=website""]",,,"[""2766963535""]","{""names"":{}}","[{""freeform"":""115 Country Music Way"",""locality"":""Bristol"",""region"":""VA"",""country"":""US"",""postcode"":""24201""}]","[{""dataset"":""Microsoft"",""record_id"":""844424932283258"",""update_time"":""2019-05-19T02:48:17.867"",""confidence"":0.77}]","{""primary"":""The Bristol Hotel""}","{""primary"":""resort"",""alternate"":[""hotel""]}",0.77,"[""https://www.bristolhotelva.com/""]",,,"[""2766963535""]","{""names"":{}}","[{""freeform"":""510 Birthplace Of Country Music Way"",""locality"":""Bristol"",""region"":""VA"",""country"":""US"",""postcode"":""24201""}]",,,,,,,,,,,,,,,
08f39608a0b76a6203fb3f420b3f857f,4de8cde9d22d09215a24b36d,"[{""property"":"""",""dataset"":""meta"",""record_id"":""121948801246672"",""update_time"":""2025-01-06T08:00:00.000Z"",""confidence"":0.9544061302681992}]","{""primary"":""Château Saint Louis""}","{""primary"":""winery"",""alternate"":[""eat_and_drink"",""event_planning""]}",0.9544061302681992,"[""http://www.chateausaintlouis.fr""]","[""https://www.facebook.com/121948801246672""]",,"[""+33563301313""]",,"[{""freeform"":""380 Chemin de Boix Vieux"",""locality"":""Labastide-Saint-Pierre"",""postcode"":""82370"",""country"":""FR""}]","[{""property"":"""",""dataset"":""FourSquare"",""record_id"":""4de8cde9d22d09215a24b36d"",""update_time"":""2024-07-03T00:00:00.000"",""confidence"":1.0}]","{""primary"":""Chateau Saint Louis"",""common"":{},""rules"":[]}","{""primary"":""Dining and Drinking > Vineyard"",""alternate"":[]}",1.0,"[""http://www.chateausaintlouis.fr""]","[null,""https://www.facebook.com/233306156688282"",null]",[null],"[""05 63 30 20 20""]","{""wikidata"":"""",""names"":{""primary"":""Chateau Saint Louis"",""common"":{},""rules"":[]}}","[{""freeform"":""196 Bis rue Victor Hugo"",""locality"":""Labastide-Saint-Pierre"",""region"":""Midi-Pyrénées"",""country"":""FR""}]",,,,,,,,,,,,,,,
